RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/sizex) FLOAT(72.86774)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/posx) FLOAT(32.458206)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/posy) FLOAT(-1.0731931)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/anglez) FLOAT(69.11082)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/sizex) FLOAT(24.512953)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/3/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/posx) FLOAT(38.56711)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/posy) FLOAT(14.933391)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/anglez) FLOAT(69.11063)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/sizex) FLOAT(81.70979)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/4/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/posx) FLOAT(46.70494)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/posy) FLOAT(29.608019)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/anglez) FLOAT(34.483593)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/sizex) FLOAT(25.864386)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/5/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/posx) FLOAT(61.605797)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/posy) FLOAT(39.842865)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/anglez) FLOAT(34.48377)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/sizex) FLOAT(86.21468)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/6/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/posx) FLOAT(76.56524)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/posy) FLOAT(49.24166)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/anglez) FLOAT(23.571325)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/sizex) FLOAT(23.656788)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/7/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/posx) FLOAT(91.719986)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/posy) FLOAT(55.853607)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/anglez) FLOAT(23.571466)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/sizex) FLOAT(78.85606)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/8/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/posx) FLOAT(101.785576)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/posy) FLOAT(59.043274)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/anglez) FLOAT(-130.01042)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/sizex) FLOAT(15.351354)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/9/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/posx) FLOAT(94.88735)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/posy) FLOAT(50.825325)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/anglez) FLOAT(-130.0104)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/sizex) FLOAT(51.170975)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/posx) FLOAT(86.40879)
